"","id","genre"
"1","000002","Hip-Hop"
"2","000005","Hip-Hop"
"3","000010","Pop"
"4","000140","Folk"
"5","000141","Folk"
"6","000148","Experimental"
"7","000182","Rock"
"8","000190","Folk"
"9","000193","Folk"
"10","000194","Folk"
"11","000197","Folk"
"12","000200","Folk"
"13","000203","Folk"
"14","000204","Folk"
"15","000207","Folk"
"16","000210","Folk"
"17","000211","Folk"
"18","000212","Folk"
"19","000213","Pop"
"20","000255","Rock"
"21","000256","Rock"
"22","000368","Rock"
"23","000424","Experimental"
"24","000459","Rock"
"25","000534","Folk"
"26","000540","Folk"
"27","000546","Folk"
"28","000574","Rock"
"29","000602","Folk"
"30","000615","Experimental"
"31","000620","Folk"
"32","000621","Folk"
"33","000625","Folk"
"34","000666","International"
"35","000667","International"
"36","000676","Hip-Hop"
"37","000690","Rock"
"38","000694","Hip-Hop"
"39","000695","Hip-Hop"
"40","000704","International"
"41","000705","International"
"42","000706","International"
"43","000707","International"
"44","000708","International"
"45","000709","International"
"46","000714","Folk"
"47","000715","Folk"
"48","000716","Folk"
"49","000718","Folk"
"50","000777","Rock"
"51","000814","Folk"
"52","000821","Pop"
"53","000822","Pop"
"54","000825","Rock"
"55","000853","International"
"56","000890","Folk"
"57","000892","Folk"
"58","000897","Experimental"
"59","000993","Rock"
"60","000995","Experimental"
"61","000997","Experimental"
"62","000998","Experimental"
"63","001039","Rock"
"64","001040","Rock"
"65","001066","Experimental"
"66","001069","Experimental"
"67","001073","Experimental"
"68","001075","Experimental"
"69","001082","International"
"70","001083","Experimental"
"71","001087","Rock"
"72","001102","Rock"
"73","001193","Folk"
"74","001195","Folk"
"75","001196","Folk"
"76","001197","Folk"
"77","001249","Experimental"
"78","001259","Experimental"
"79","001270","Rock"
"80","001276","Experimental"
"81","001277","Experimental"
"82","001278","Experimental"
"83","001417","Rock"
"84","001427","Rock"
"85","001443","Experimental"
"86","001482","Electronic"
"87","001510","Experimental"
"88","001544","Folk"
"89","001642","Pop"
"90","001644","Pop"
"91","001649","Pop"
"92","001661","Pop"
"93","001663","Pop"
